Sentence Number,Word,Label
1,A,O
1,cow,B-ANIMAL
1,in,O
1,the,O
1,meadow,O
1,noticed,O
1,something,O
1,glowing,O
1,in,O
1,the,O
1,distance,O
1,An,O
1,unexpected,O
1,friend,O
1,a,O
1,talking,O
1,bird,O
1,guided,O
1,the,O
1,cow,B-ANIMAL
1,along,O
1,the,O
1,way,O
1,Having,O
1,learned,O
1,an,O
1,important,O
1,lesson,O
1,the,O
1,cow,B-ANIMAL
1,shared,O
1,its,O
1,story,O
1,with,O
1,others,O
2,One,O
2,evening,O
2,a,O
2,dog,B-ANIMAL
2,found,O
2,itself,O
2,in,O
2,an,O
2,enchanted,O
2,garden,O
2,A,O
2,magical,O
2,pond,O
2,reflected,O
2,the,O
2,dog's,O
2,deepest,O
2,dreams,O
2,The,O
2,dog,B-ANIMAL
2,realized,O
2,that,O
2,the,O
2,real,O
2,treasure,O
2,was,O
2,the,O
2,memories,O
2,made,O
3,A,O
3,curious,O
3,cat,B-ANIMAL
3,stumbled,O
3,upon,O
3,a,O
3,hidden,O
3,cave,O
3,It,O
3,met,O
3,a,O
3,wise,O
3,old,O
3,cat,B-ANIMAL
3,who,O
3,shared,O
3,a,O
3,mysterious,O
3,riddle,O
3,At,O
3,last,O
3,the,O
3,cat,B-ANIMAL
3,found,O
3,what,O
3,it,O
3,had,O
3,been,O
3,searching,O
3,for,O
3,all,O
3,along,O
4,Deep,O
4,in,O
4,the,O
4,jungle,O
4,a,O
4,dog,B-ANIMAL
4,heard,O
4,a,O
4,strange,O
4,sound,O
4,The,O
4,dog,B-ANIMAL
4,found,O
4,a,O
4,map,O
4,leading,O
4,to,O
4,a,O
4,legendary,O
4,treasure,O
4,Having,O
4,learned,O
4,an,O
4,important,O
4,lesson,O
4,the,O
4,dog,B-ANIMAL
4,shared,O
4,its,O
4,story,O
4,with,O
4,others,O
5,A,O
5,dog,B-ANIMAL
5,in,O
5,the,O
5,meadow,O
5,noticed,O
5,something,O
5,glowing,O
5,in,O
5,the,O
5,distance,O
5,It,O
5,met,O
5,a,O
5,wise,O
5,old,O
5,dog,B-ANIMAL
5,who,O
5,shared,O
5,a,O
5,mysterious,O
5,riddle,O
5,The,O
5,dog,B-ANIMAL
5,knew,O
5,it,O
5,would,O
5,return,O
5,one,O
5,day,O
5,for,O
5,another,O
5,grand,O
5,adventure,O
6,In,O
6,a,O
6,quiet,O
6,village,O
6,a,O
6,squirrel,B-ANIMAL
6,discovered,O
6,an,O
6,ancient,O
6,secret,O
6,The,O
6,path,O
6,was,O
6,blocked,O
6,by,O
6,a,O
6,giant,O
6,boulder,O
6,but,O
6,a,O
6,kind,O
6,squirrel,B-ANIMAL
6,helped,O
6,move,O
6,it,O
6,The,O
6,enchanted,O
6,land,O
6,bid,O
6,the,O
6,squirrel,B-ANIMAL
6,farewell,O
6,as,O
6,it,O
6,continued,O
6,its,O
6,journey,O
7,A,O
7,lonely,O
7,butterfly,B-ANIMAL
7,roamed,O
7,the,O
7,vast,O
7,plains,O
7,in,O
7,search,O
7,of,O
7,something,O
7,special,O
7,The,O
7,butterfly,B-ANIMAL
7,discovered,O
7,an,O
7,ancient,O
7,book,O
7,filled,O
7,with,O
7,forgotten,O
7,wisdom,O
7,With,O
7,the,O
7,mystery,O
7,solved,O
7,the,O
7,butterfly,B-ANIMAL
7,could,O
7,finally,O
7,rest,O
8,Once,O
8,upon,O
8,a,O
8,time,O
8,a,O
8,spider,B-ANIMAL
8,wandered,O
8,into,O
8,a,O
8,mysterious,O
8,forest,O
8,A,O
8,sudden,O
8,storm,O
8,forced,O
8,it,O
8,to,O
8,seek,O
8,shelter,O
8,in,O
8,a,O
8,hidden,O
8,cavern,O
8,With,O
8,the,O
8,mystery,O
8,solved,O
8,the,O
8,spider,B-ANIMAL
8,could,O
8,finally,O
8,rest,O
9,Deep,O
9,in,O
9,the,O
9,jungle,O
9,a,O
9,cat,B-ANIMAL
9,heard,O
9,a,O
9,strange,O
9,sound,O
9,A,O
9,sudden,O
9,storm,O
9,forced,O
9,it,O
9,to,O
9,seek,O
9,shelter,O
9,in,O
9,a,O
9,hidden,O
9,cavern,O
9,The,O
9,journey,O
9,changed,O
9,the,O
9,cat,B-ANIMAL
9,forever,O
9,filling,O
9,its,O
9,heart,O
9,with,O
9,joy,O
10,Deep,O
10,in,O
10,the,O
10,jungle,O
10,a,O
10,horse,B-ANIMAL
10,heard,O
10,a,O
10,strange,O
10,sound,O
10,The,O
10,horse,B-ANIMAL
10,found,O
10,a,O
10,map,O
10,leading,O
10,to,O
10,a,O
10,legendary,O
10,treasure,O
10,The,O
10,horse,B-ANIMAL
10,realized,O
10,that,O
10,the,O
10,real,O
10,treasure,O
10,was,O
10,the,O
10,memories,O
10,made,O
11,One,O
11,evening,O
11,a,O
11,chicken,B-ANIMAL
11,found,O
11,itself,O
11,in,O
11,an,O
11,enchanted,O
11,garden,O
11,A,O
11,magical,O
11,pond,O
11,reflected,O
11,the,O
11,chicken's,O
11,deepest,O
11,dreams,O
11,The,O
11,chicken,B-ANIMAL
11,knew,O
11,it,O
11,would,O
11,return,O
11,one,O
11,day,O
11,for,O
11,another,O
11,grand,O
11,adventure,O
12,A,O
12,chicken,B-ANIMAL
12,in,O
12,the,O
12,meadow,O
12,noticed,O
12,something,O
12,glowing,O
12,in,O
12,the,O
12,distance,O
12,A,O
12,magical,O
12,pond,O
12,reflected,O
12,the,O
12,chicken's,O
12,deepest,O
12,dreams,O
12,As,O
12,the,O
12,sun,O
12,set,O
12,the,O
12,chicken,B-ANIMAL
12,smiled,O
12,knowing,O
12,its,O
12,adventure,O
12,was,O
12,only,O
12,the,O
12,beginning,O
13,A,O
13,squirrel,B-ANIMAL
13,in,O
13,the,O
13,meadow,O
13,noticed,O
13,something,O
13,glowing,O
13,in,O
13,the,O
13,distance,O
13,It,O
13,met,O
13,a,O
13,wise,O
13,old,O
13,squirrel,B-ANIMAL
13,who,O
13,shared,O
13,a,O
13,mysterious,O
13,riddle,O
13,It,O
13,returned,O
13,home,O
13,wiser,O
13,and,O
13,braver,O
13,than,O
13,before,O
14,A,O
14,butterfly,B-ANIMAL
14,in,O
14,the,O
14,desert,O
14,uncovered,O
14,a,O
14,long-lost,O
14,relic,O
14,The,O
14,path,O
14,was,O
14,blocked,O
14,by,O
14,a,O
14,giant,O
14,boulder,O
14,but,O
14,a,O
14,kind,O
14,butterfly,B-ANIMAL
14,helped,O
14,move,O
14,it,O
14,The,O
14,journey,O
14,changed,O
14,the,O
14,butterfly,B-ANIMAL
14,forever,O
14,filling,O
14,its,O
14,heart,O
14,with,O
14,joy,O
15,Long,O
15,ago,O
15,a,O
15,cow,B-ANIMAL
15,set,O
15,off,O
15,on,O
15,a,O
15,grand,O
15,adventure,O
15,A,O
15,sudden,O
15,storm,O
15,forced,O
15,it,O
15,to,O
15,seek,O
15,shelter,O
15,in,O
15,a,O
15,hidden,O
15,cavern,O
15,With,O
15,the,O
15,mystery,O
15,solved,O
15,the,O
15,cow,B-ANIMAL
15,could,O
15,finally,O
15,rest,O
16,Once,O
16,upon,O
16,a,O
16,time,O
16,a,O
16,squirrel,B-ANIMAL
16,wandered,O
16,into,O
16,a,O
16,mysterious,O
16,forest,O
16,An,O
16,unexpected,O
16,friend,O
16,a,O
16,talking,O
16,bird,O
16,guided,O
16,the,O
16,squirrel,B-ANIMAL
16,along,O
16,the,O
16,way,O
16,At,O
16,last,O
16,the,O
16,squirrel,B-ANIMAL
16,found,O
16,what,O
16,it,O
16,had,O
16,been,O
16,searching,O
16,for,O
16,all,O
16,along,O
17,One,O
17,evening,O
17,a,O
17,dog,B-ANIMAL
17,found,O
17,itself,O
17,in,O
17,an,O
17,enchanted,O
17,garden,O
17,The,O
17,path,O
17,was,O
17,blocked,O
17,by,O
17,a,O
17,giant,O
17,boulder,O
17,but,O
17,a,O
17,kind,O
17,dog,B-ANIMAL
17,helped,O
17,move,O
17,it,O
17,At,O
17,last,O
17,the,O
17,dog,B-ANIMAL
17,found,O
17,what,O
17,it,O
17,had,O
17,been,O
17,searching,O
17,for,O
17,all,O
17,along,O
18,A,O
18,sheep,B-ANIMAL
18,in,O
18,the,O
18,desert,O
18,uncovered,O
18,a,O
18,long-lost,O
18,relic,O
18,An,O
18,unexpected,O
18,friend,O
18,a,O
18,talking,O
18,bird,O
